C00267, alpha-D-Glucose
C00668, alpha-D-Glucose 6-phosphate
C00085, D-Fructose 6-phosphate
C00354, D-Fructose 1,6-bisphosphate
C00111, Glycerone phosphate
C00118, D-Glyceraldehyde 3-phosphate
C00236, 3-Phospho-D-glyceroyl phosphate
C00197, 3-Phospho-D-glycerate
C00631, 2-Phospho-D-glycerate
C00074, Phosphoenolpyruvate
C00022, Pyruvate
C00036, Oxaloacetate
C01172, beta-D-Glucose 6-phosphate
C01236, D-Glucono-1,5-lactone 6-phosphate
C00345, 6-Phospho-D-gluconate
C00199, D-Ribulose 5-phosphate
C00231, D-Xylulose 5-phosphate
C00117, D-Ribose 5-phosphate
C05382, Sedoheptulose 7-phosphate
C00279, D-Erythrose 4-phosphate
C00119, 5-Phospho-alpha-D-ribose 1-diphosphate
C04442, 2-Dehydro-3-deoxy-6-phospho-D-gluconate
C00024, Acetyl-CoA
C00158, Citrate
C00311, Isocitrate
C00026, 2-Oxoglutarate
C15972, Enzyme N6-lipoyllysine
C16254, [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine
C00091, Succinyl-CoA
C15973, Enzyme N6-dihydrolipoyllysine
C00042, Succinate
C00122, Fumarate
C00149, S-Malate
C00417, cis-Aconitate
C00048, Glyoxylate
C00100, Propanoyl-CoA
C00894, Propenoyl-CoA
C05668, 3-Hydroxypropionyl-CoA
C01013, 3-Hydroxypropanoate
C00222, 3-Oxopropanoate
C00029, UDP-glucose
C00167, UDP-glucuronate
C05385, D-Glucuronate 1-phosphate
C00191, D-Glucuronate
C03033, beta-D-Glucuronoside
C00800, L-Gulonate
C00618, 3-Dehydro-L-gulonate
C00312, L-Xylulose
C00379, Xylitol
C00310, D-Xylulose
C00025, L-Glutamate
C03287, L-Glutamyl 5-phosphate
C01165, L-Glutamate 5-semialdehyde
C03912, S-1-Pyrroline-5-carboxylate
C00148, L-Proline
C00049, L-Aspartate
C03082, 4-Phospho-L-aspartate
C00441, L-Aspartate 4-semialdehyde
C20258, 2S,4S-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate
C03972, 2,3,4,5-Tetrahydrodipicolinate
C04462, N-Succinyl-2-L-amino-6-oxoheptanedioate
C04421, N-Succinyl-LL-2,6-diaminoheptanedioate
C00666, LL-2,6-Diaminoheptanedioate
C00680, meso-2,6-Diaminoheptanedioate
C00047, L-Lysine
C00263, L-Homoserine
C01118, O-Succinyl-L-homoserine
C02291, L-Cystathionine
C00155, L-Homocysteine
C00073, L-Methionine
C01102, O-Phospho-L-homoserine
C00188, L-Threonine
C06010, S-2-Acetolactate
C04181, 3-Hydroxy-3-methyl-2-oxobutanoic acid
C04272, R-2,3-Dihydroxy-3-methylbutanoate
C00141, 3-Methyl-2-oxobutanoic acid
C00183, L-Valine
C00109, 2-Oxobutanoate
C06006, S-2-Aceto-2-hydroxybutanoate
C14463, R-3-Hydroxy-3-methyl-2-oxopentanoate
C06007, R-2,3-Dihydroxy-3-methylpentanoate
C00671, S-3-Methyl-2-oxopentanoic acid
C00407, L-Isoleucine
C03232, 3-Phosphonooxypyruvate
